actuator_id,type,from_node,to_node,is_native_rule_control,is_storage_orifice,is_storage_inlet,is_storage_outlet,priority_upstream_relief_score,priority_downstream_risk_score,priority_local_score,nearest_priority_distance,selection_score,selected,selection_rank
RTC_IN_01,ORIFICE,ADD424,RTC_ST_01,0,1,1,0,0.0,0.0,0.0,4441.378115693806,3.4549333574773966,1,1.0
RTC_IN_02,ORIFICE,HS2505204,RTC_ST_02,0,1,1,0,0.0,0.0,0.0,6828.098519397339,3.3102262861099168,1,2.0
RTC_IN_03,ORIFICE,MH0001066,RTC_ST_03,0,1,1,0,0.5184,0.0,0.0,531.5195932455991,8.573927081527742,1,3.0
RTC_IN_04,ORIFICE,YS2106012,RTC_ST_04,0,1,1,0,0.0,0.0,0.0,6011.918926496611,3.3493653325275083,1,4.0
RTC_IN_05,ORIFICE,MH0100134,RTC_ST_05,0,1,1,0,0.0,0.0,0.0,2892.39489379039,3.6329986994660146,1,5.0
RTC_OUT_01,ORIFICE,RTC_ST_01,ADD424,0,1,0,1,0.0,0.0,0.0,4441.378115693806,3.4549333574773966,1,6.0
RTC_OUT_02,ORIFICE,RTC_ST_02,HS2505204,0,1,0,1,0.0,0.0,0.0,6828.098519397339,3.3102262861099168,1,7.0
RTC_OUT_03,ORIFICE,RTC_ST_03,MH0001066,0,1,0,1,0.5184,0.0,0.0,531.5195932455991,8.573927081527742,1,8.0
RTC_OUT_04,ORIFICE,RTC_ST_04,YS2106012,0,1,0,1,0.0,0.0,0.0,6011.918926496611,3.3493653325275083,1,9.0
RTC_OUT_05,ORIFICE,RTC_ST_05,MH0100134,0,1,0,1,0.0,0.0,0.0,2892.39489379039,3.6329986994660146,1,10.0
MSL010.7,PUMP,MSL010,MSLBZW001,1,0,0,0,1.0,1.0,1.0,0.0,12.2,1,11.0
MSL010.8,PUMP,MSL010,MSLBZW001,1,0,0,0,1.0,1.0,1.0,0.0,12.2,1,12.0
MSL010.9,PUMP,MSL010,MSLBZW001,1,0,0,0,1.0,1.0,1.0,0.0,12.2,1,13.0
MSL010.2,PUMP,MSL010,OFJ_MSLBZ002,1,0,0,0,0.0,0.72,0.0,21.663316458912902,9.931526794101435,1,14.0
MSL010.3,PUMP,MSL010,OFJ_MSLBZ002!,1,0,0,0,0.0,0.72,0.0,21.9361920350464,9.931173309170452,1,15.0
MSL010.4,PUMP,MSL010,OFJ_MSLBZ002!!,1,0,0,0,0.0,0.72,0.0,22.506649617383456,9.930434743752297,1,16.0
MSL010.6,PUMP,MSL010,OFJ_MSLBZ002!!!,1,0,0,0,0.0,0.72,0.0,23.13978673193916,9.92961567554927,1,17.0
MSL010.5,PUMP,MSL010,OFJ_MSLBZ002!!!!,1,0,0,0,0.0,0.72,0.0,23.913484396898742,9.928615692896289,1,18.0
VP0017185.1,PUMP,VP0017185,H0000,1,0,0,0,0.37324799999999997,0.0,0.0,731.0801432763437,6.530624177557448,1,19.0
VP0017185.2,PUMP,VP0017185,H0000,1,0,0,0,0.37324799999999997,0.0,0.0,731.0801432763437,6.530624177557448,1,20.0
VP0017185.3,PUMP,VP0017185,H0000,1,0,0,0,0.37324799999999997,0.0,0.0,731.0801432763437,6.530624177557448,1,21.0
VP0017185.4,PUMP,VP0017185,H0000,1,0,0,0,0.37324799999999997,0.0,0.0,731.0801432763437,6.530624177557448,1,22.0
add303.2,PUMP,add300,OFJ_wwPlant,1,0,0,0,0.19349176319999997,0.0,0.0,1017.7385849381283,4.9394795734046815,1,23.0
add303.1,PUMP,add300,OFJ_wwPlant!,1,0,0,0,0.19349176319999997,0.0,0.0,1017.9491345297444,4.939379936994955,1,24.0
ADD301.2,PUMP,ADD301,ZhongyiP,1,0,0,0,0.19349176319999997,0.0,0.0,1073.351413393067,4.913729023614862,1,25.0
ADD301.3,PUMP,ADD301,ZhongyiP,1,0,0,0,0.19349176319999997,0.0,0.0,1073.351413393067,4.913729023614862,1,26.0
ADD301.5,PUMP,ADD301,ZhongyiP,1,0,0,0,0.19349176319999997,0.0,0.0,1073.351413393067,4.913729023614862,1,27.0
ADD301.6,PUMP,ADD301,ZhongyiP,1,0,0,0,0.19349176319999997,0.0,0.0,1073.351413393067,4.913729023614862,1,28.0
ADD301.7,PUMP,ADD301,ZhongyiP,1,0,0,0,0.19349176319999997,0.0,0.0,1073.351413393067,4.913729023614862,1,29.0
BZ10.1,PUMP,BZ10,OFJ_OF0257296!,1,0,0,0,0.0,0.0,0.0,455.02281760042206,3.734508944341721,1,30.0
HS1306663.1,ORIFICE,HS1306663,add415,1,0,0,0,0.0,0.26873855999999996,0.0,411.51827201226575,5.169341555228668,1,31.0
gbz1.4,WEIR,gbz1,dw1,1,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,4.558659611674648,1,32.0
add300.1,ORIFICE,add300,add303,1,0,0,0,0.19349176319999997,0.0,0.0,1064.3655677077818,4.167814109363122,1,33.0
BZ10.2,PUMP,BZ10,OFJ_OF0257296,1,0,0,0,0.0,0.0,0.0,455.02281760042206,3.734508944341721,1,34.0
Zhongyi-2.2,WEIR,Zhongyi-2,OFJ_Zhongyi,1,0,0,0,0.13931406950399997,0.0,0.0,1165.3185806481636,3.490081567474695,1,35.0
TJ01.1,PUMP,TJ01,OF0000022!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,36.0
TJ01.2,PUMP,TJ01,OF0000022!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,37.0
TJ01.3,PUMP,TJ01,OFJ_OF0000022!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,38.0
TJ01.4,PUMP,TJ01,OFJ_OF0000022!!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,39.0
TJ01.5,PUMP,TJ01,OFJ_OF0000022!!!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,40.0
TJ01.6,PUMP,TJ01,OFJ_OF0000022!!!!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,41.0
TJ01.7,PUMP,TJ01,OFJ_OF0000022!!!!!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,42.0
TJ01.8,PUMP,TJ01,OFJ_OF0000022!!!!!!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,43.0
TJ01.9,PUMP,TJ01,OFJ_OF0000022!!!!!!!!,1,0,0,0,0.0,0.0,0.0,1064.819118693923,3.369673127486543,1,44.0
HPLBZ01!.1,PUMP,HPLBZ01!,OFJ_HPLBZ02!!!!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,1,45.0
HPLBZ01!.2,PUMP,HPLBZ01!,OFJ_HPLBZ02!!!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,1,46.0
HPLBZ01!.3,PUMP,HPLBZ01!,OFJ_HPLBZ02!!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,1,47.0
HPLBZ01!.4,PUMP,HPLBZ01!,OFJ_HPLBZ02!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,1,48.0
gbz1.3,ORIFICE,gbz1,OF0000023,0,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,3.7586596116746485,0,
gbz1.5,ORIFICE,gbz1,OF0000023,0,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,3.7586596116746485,0,
gbz1.6,ORIFICE,gbz1,OF0000023,0,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,3.7586596116746485,0,
gbz1.7,ORIFICE,gbz1,OF0000023,0,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,3.7586596116746485,0,
gbz1.8,ORIFICE,gbz1,OF0000023,0,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,3.7586596116746485,0,
gbz1.9,ORIFICE,gbz1,OF0000023,0,0,0,0,0.26873855999999996,0.0,0.0,1088.9942352542462,3.7586596116746485,0,
HPLBZ01!.5,PUMP,HPLBZ01!,OFJ_HPLBZ02,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,0,
HPLBZ01!.6,PUMP,HPLBZ01!,OFJ_HPLBZ02!!!!!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,0,
HPLBZ01!.7,PUMP,HPLBZ01!,OFJ_HPLBZ02!!!!!!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,0,
HPLBZ01!.8,PUMP,HPLBZ01!,OFJ_HPLBZ02!!!!!!!,1,0,0,0,0.0,0.0,0.0,2009.8666226832045,3.054733333914146,0,
add350.1,PUMP,add350,cc007,1,0,0,0,0.0,0.0,0.0,2786.078826922887,2.8999404633334276,0,
VP0272784.1,PUMP,VP0272784,VP0272287!,1,0,0,0,0.0,0.0,0.0,3207.4778773724825,2.837283929558151,0,
VP0272784.2,PUMP,VP0272784,VP0272287!,1,0,0,0,0.0,0.0,0.0,3207.4778773724825,2.837283929558151,0,
VP0272784.3,PUMP,VP0272784,VP0272287!,1,0,0,0,0.0,0.0,0.0,3207.4778773724825,2.837283929558151,0,
VP0272784.4,PUMP,VP0272784,VP0272287!,1,0,0,0,0.0,0.0,0.0,3207.4778773724825,2.837283929558151,0,
VP0272784.5,PUMP,VP0272784,VP0272287!,1,0,0,0,0.0,0.0,0.0,3207.4778773724825,2.837283929558151,0,
VP0272784.6,PUMP,VP0272784,VP0272287!,1,0,0,0,0.0,0.0,0.0,3207.4778773724825,2.837283929558151,0,
tjdw02.1,PUMP,tjdw02,HXHcsoOut,1,0,0,0,0.0,0.0,0.0,3450.0468806986023,2.8060548662069658,0,
wjd.1,PUMP,wjd,add402,1,0,0,0,0.0,0.0,0.0,4033.9777908031538,2.7421055366332805,0,
wjd.2,PUMP,wjd,add402,1,0,0,0,0.0,0.0,0.0,4033.9777908031538,2.7421055366332805,0,
wjd.3,PUMP,wjd,add402,1,0,0,0,0.0,0.0,0.0,4033.9777908031538,2.7421055366332805,0,
wjd.4,PUMP,wjd,add402,1,0,0,0,0.0,0.0,0.0,4033.9777908031538,2.7421055366332805,0,
add33530.1,PUMP,add33530,OFJ_JCH_CSO_outf,1,0,0,0,0.0,0.0,0.0,5973.116228471042,2.60143895910124,0,
MH0600332.1,PUMP,MH0600332,VP0600334,1,0,0,0,0.0,0.0,0.0,6215.715610193584,2.5888168190176115,0,
MH0600332.2,PUMP,MH0600332,VP0600334,1,0,0,0,0.0,0.0,0.0,6215.715610193584,2.5888168190176115,0,
MH0600332.3,PUMP,MH0600332,VP0600334,1,0,0,0,0.0,0.0,0.0,6215.715610193584,2.5888168190176115,0,
MH0600332.4,PUMP,MH0600332,VP0600334,1,0,0,0,0.0,0.0,0.0,6215.715610193584,2.5888168190176115,0,
MH0600332.5,PUMP,MH0600332,VP0600334,1,0,0,0,0.0,0.0,0.0,6215.715610193584,2.5888168190176115,0,
MH0600332.6,PUMP,MH0600332,VP0600334,1,0,0,0,0.0,0.0,0.0,6215.715610193584,2.5888168190176115,0,
add321.1,ORIFICE,add321,add320,1,0,0,0,0.0,0.0,0.0,1501.6377243412721,2.449454389739311,0,
MH0002461.1,WEIR,MH0002461,add323,1,0,0,0,0.0,0.0,0.0,1510.268327310331,2.246588899661478,0,
cc006.1,ORIFICE,cc006,jichangheTank,1,0,0,0,0.0,0.0,0.0,2764.7224137343255,2.153445549079267,0,
jichangheTank.2,ORIFICE,jichangheTank,add350,1,0,0,0,0.0,0.0,0.0,2780.726288063582,2.150815655596862,0,
VP0600010.3,ORIFICE,VP0600010,VP0272297,1,0,0,0,0.0,0.0,0.0,3201.5735861444855,2.0880842381880367,0,
VP0600010.4,ORIFICE,VP0600010,VP0272297,1,0,0,0,0.0,0.0,0.0,3201.5735861444855,2.0880842381880367,0,
VP0600010.5,ORIFICE,VP0600010,VP0272297,1,0,0,0,0.0,0.0,0.0,3201.5735861444855,2.0880842381880367,0,
dw3700.1,ORIFICE,dw3700,dw3701,1,0,0,0,0.0,0.0,0.0,3380.818136925403,2.0646510514915035,0,
dw3700.2,ORIFICE,dw3700,tjdw02,1,0,0,0,0.0,0.0,0.0,3380.818136925403,2.0646510514915035,0,
HS1301539.2,ORIFICE,HS1301539,OFJ_MSL01.1,0,0,0,0,0.0,0.0,0.0,398.4617994337979,2.0302266871499484,0,
ADD424.4,ORIFICE,ADD424,add400,1,0,0,0,0.0,0.0,0.0,4454.5648969394115,1.9538151488687225,0,
dwxh.2,ORIFICE,dwxh,OFJ_dwyl,1,0,0,0,0.0,0.0,0.0,5827.005681237418,1.8594442027910842,0,
