facility_id,canonical_id,actuator_type,pump_control_mode,binary_or_continuous,action_set,intermediate_setting_allowed,lower_bound,upper_bound,numerical_bounds_status,safe_passive_state,rate_limit,min_hold_steps,minimum_on_min,minimum_off_min,dwell_min,storage_role,interlock_group,native_rule_status,preliminary_controls_text_reference,native_action_clause_confirmed,residual_override_allowed,engineering_semantics_source,confirmation_status,candidate_generation_status,semantics_status
ADD424.4,ADD424.4,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
HS1306663.1,HS1306663.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
JCHdwxh02.1,JCHdwxh02.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
MH0266931.2,MH0266931.2,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
MH0266932.2,MH0266932.2,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
MH0266933.1,MH0266933.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
VP0600010.3,VP0600010.3,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
VP0600010.4,VP0600010.4,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
VP0600010.5,VP0600010.5,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
add300.1,add300.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
add321.1,add321.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
cc006.1,cc006.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
dw3700.1,dw3700.1,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
dw3700.2,dw3700.2,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
dwxh.2,dwxh.2,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
jichangheTank.2,jichangheTank.2,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,storage_outlet,pending,pending,true,,pending,inp_and_text_audit,pending,pending,pending
ADD424.1,ADD424.1,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
ADD424.2,ADD424.2,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
ADD424.3,ADD424.3,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
JCW0000.1,JCW0000.1,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
MH0002461.1,MH0002461.1,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
Zhongyi-2.2,Zhongyi-2.2,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
add401.1,add401.1,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
gbz1.4,gbz1.4,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
jchX01.1,jchX01.1,weir,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,none,none,pending,true,,pending,inp_and_text_audit,pending,pending,pending
add350.1,add350.1,pump,variable_speed,continuous,speed_setting_pending_bounds,false,,,pending_inp_and_rule_audit,internal,null,null,null,null,null,none,none,pending,true,,false,user_confirmed,confirmed,blocked_until_bounds_verified,engineering_contract_pending_bounds
RTC_IN_01,RTC_IN_01,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,storage_inlet,storage_01,pending,false,,pending,retrofit_inp,pending,pending,pending
RTC_OUT_01,RTC_OUT_01,orifice,not_applicable,continuous,"[0,1]",true,0,1,inp_default,hold_native,null,null,null,null,null,storage_outlet,storage_01,pending,false,,pending,retrofit_inp,pending,pending,pending
