actuator_id,asset_class,storage_node,inlet_or_outlet,upstream_node,downstream_node,link_type,existing_or_retrofit,action_index,historical_action_coverage,setting_range,rate_limit,min_hold_steps,fail_safe_setting,control_semantics,constraint_source,selection_rationale
RTC_IN_01,storage_inlet,RTC_ST_01,inlet,ADD424,RTC_ST_01,orifice,retrofit_control_enabled,0,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,0.0,continuous_orifice,scenario_constraint,real_storage_inlet_pair_geographically_distributed
RTC_OUT_01,storage_outlet,RTC_ST_01,outlet,RTC_ST_01,ADD424,orifice,retrofit_control_enabled,5,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,1.0,continuous_orifice,scenario_constraint,real_storage_outlet_pair_geographically_distributed
RTC_IN_02,storage_inlet,RTC_ST_02,inlet,HS2505204,RTC_ST_02,orifice,retrofit_control_enabled,1,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,0.0,continuous_orifice,scenario_constraint,real_storage_inlet_pair_geographically_distributed
RTC_OUT_02,storage_outlet,RTC_ST_02,outlet,RTC_ST_02,HS2505204,orifice,retrofit_control_enabled,6,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,1.0,continuous_orifice,scenario_constraint,real_storage_outlet_pair_geographically_distributed
RTC_IN_03,storage_inlet,RTC_ST_03,inlet,MH0001066,RTC_ST_03,orifice,retrofit_control_enabled,2,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,0.0,continuous_orifice,scenario_constraint,direct_extended_hydraulic_path_to_HS1316314
RTC_OUT_03,storage_outlet,RTC_ST_03,outlet,RTC_ST_03,MH0001066,orifice,retrofit_control_enabled,7,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,1.0,continuous_orifice,scenario_constraint,direct_extended_hydraulic_path_to_HS1316314
HS2512760.1,downstream_regulator,,downstream,HS2512760,HS2512260,orifice,retrofit_control_enabled,41,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,1.0,continuous_orifice,scenario_constraint,key_downstream_regulator_not_in_v8_26
gbz1.8,downstream_regulator,,downstream,gbz1,OF0000023,orifice,retrofit_control_enabled,50,covered_150_events_5_patterns_1001_bins,"[0.0,1.0]",0.10,2,1.0,continuous_orifice,scenario_constraint,key_downstream_regulator_not_in_v8_26
ADD301.2,pump,,pump,ADD301,ZhongyiP,pump,retrofit_control_enabled,53,covered_150_events_5_patterns_1001_bins,"{0,1}",1.0,3,0.0,binary_pump,scenario_constraint,physical_pump_station_nonpriority_direct_discharge
ADD301.3,pump,,pump,ADD301,ZhongyiP,pump,retrofit_control_enabled,54,covered_150_events_5_patterns_1001_bins,"{0,1}",1.0,3,0.0,binary_pump,scenario_constraint,second_parallel_physical_pump_station_unit
