elapsed_min,intensity_mm_h,event_id
0,5.553497831071092,T10_D180_chicago_late
5,5.5534986043282455,T10_D180_chicago_late
10,5.553501772843094,T10_D180_chicago_late
15,5.553513978264767,T10_D180_chicago_late
20,5.553558170530691,T10_D180_chicago_late
25,5.553708539244877,T10_D180_chicago_late
30,5.554189263308037,T10_D180_chicago_late
35,5.555632895266856,T10_D180_chicago_late
40,5.5597040440134045,T10_D180_chicago_late
45,5.5704819245743495,T10_D180_chicago_late
50,5.597257256488621,T10_D180_chicago_late
55,5.659647503246135,T10_D180_chicago_late
60,5.795927029699766,T10_D180_chicago_late
65,6.074777648464216,T10_D180_chicago_late
70,6.608799906859566,T10_D180_chicago_late
75,7.56491726377611,T10_D180_chicago_late
80,9.16300980213735,T10_D180_chicago_late
85,11.651875818307417,T10_D180_chicago_late
90,15.254133744883143,T10_D180_chicago_late
95,20.081506362199754,T10_D180_chicago_late
100,26.03830991612238,T10_D180_chicago_late
105,32.747798813566455,T10_D180_chicago_late
110,39.542924052894804,T10_D180_chicago_late
115,45.55071578062952,T10_D180_chicago_late
120,49.86696729081179,T10_D180_chicago_late
125,51.776882288410874,T10_D180_chicago_late
130,50.9484692079565,T10_D180_chicago_late
135,47.52686110568373,T10_D180_chicago_late
140,42.092763210799724,T10_D180_chicago_late
145,35.50136313496757,T10_D180_chicago_late
150,28.663072292751284,T10_D180_chicago_late
155,22.34300867839828,T10_D180_chicago_late
160,17.037787955950666,T10_D180_chicago_late
165,12.949385114024762,T10_D180_chicago_late
170,10.037816076284013,T10_D180_chicago_late
175,8.113395348590924,T10_D180_chicago_late
180,0.0,T10_D180_chicago_late
