elapsed_min,intensity_mm_h,event_id
0,15.819155016941563,T10_D60_chicago_center
5,15.841205174808497,T10_D60_chicago_center
10,16.364687231007423,T10_D60_chicago_center
15,22.33953207724524,T10_D60_chicago_center
20,54.16063326600393,T10_D60_chicago_center
25,126.81194689164604,T10_D60_chicago_center
30,174.00568068469434,T10_D60_chicago_center
35,126.81194689164614,T10_D60_chicago_center
40,54.16063326600397,T10_D60_chicago_center
45,22.33953207724524,T10_D60_chicago_center
50,16.364687231007427,T10_D60_chicago_center
55,15.841205174808497,T10_D60_chicago_center
60,0.0,T10_D60_chicago_center
