elapsed_min,intensity_mm_h,event_id
0,24.74310652592672,T50_D60_chicago_early
5,46.23932410453472,T50_D60_chicago_early
10,102.34934538635432,T50_D60_chicago_early
15,169.70766681089788,T50_D60_chicago_early
20,178.0636564876565,T50_D60_chicago_early
25,116.93497951579276,T50_D60_chicago_early
30,54.46905995556929,T50_D60_chicago_early
35,27.012607788217547,T50_D60_chicago_early
40,20.695943942717786,T50_D60_chicago_early
45,19.890930485176476,T50_D60_chicago_early
50,19.832753078435942,T50_D60_chicago_early
55,19.830341788347358,T50_D60_chicago_early
60,0.0,T50_D60_chicago_early
