event_id,rainfall_path,rainfall_sha256,status,return_period_year,duration_min,peak_pattern,generated_by,created_at
T5_D60_chicago_early,E:\RTC_sewer\Project6\data\rainfall_library\T5_D60_chicago_early.csv,b2d693fca1fe30e6ca432040cdb4f197c727d2dfa94f2d6bf561c7a11170f692,available,5,60,chicago_early,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.500105+00:00
T5_D60_chicago_center,E:\RTC_sewer\Project6\data\rainfall_library\T5_D60_chicago_center.csv,0873e75980d5c51cd9664c2bcb15f6d1161efcda63f076330237b7654772a4ec,available,5,60,chicago_center,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.500105+00:00
T5_D60_chicago_late,E:\RTC_sewer\Project6\data\rainfall_library\T5_D60_chicago_late.csv,280e08ca083c9faa93a9f06adca8dc92d49180891dc78719d73c715b437697d9,available,5,60,chicago_late,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.500105+00:00
T5_D180_chicago_early,E:\RTC_sewer\Project6\data\rainfall_library\T5_D180_chicago_early.csv,6c0b32f56a510b1ee644b184023e11a4c031ceb5171ab2ddbdabe2d168eea0b7,available,5,180,chicago_early,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.500105+00:00
T5_D180_chicago_center,E:\RTC_sewer\Project6\data\rainfall_library\T5_D180_chicago_center.csv,af948c4062b794c43c6da7095b25c120d6747f57f6807365d1dd091c8736dccb,available,5,180,chicago_center,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.500105+00:00
T5_D180_chicago_late,E:\RTC_sewer\Project6\data\rainfall_library\T5_D180_chicago_late.csv,fad5f98d28ad4103eceb6535ed25a8a19dffd997b6e2f75ba34f61ab27082501,available,5,180,chicago_late,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.500105+00:00
T5_D300_chicago_early,E:\RTC_sewer\Project6\data\rainfall_library\T5_D300_chicago_early.csv,ad60ec9cb472a7d0f7aaac184be71e418fd5a497e1c8be120026e3a9e26b55f6,available,5,300,chicago_early,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.510802+00:00
T5_D300_chicago_center,E:\RTC_sewer\Project6\data\rainfall_library\T5_D300_chicago_center.csv,21a57a68f2a9b8debda0a52e45ef86ffcf5c5226b1902f5b22b8f10f6ec5956a,available,5,300,chicago_center,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.510802+00:00
T5_D300_chicago_late,E:\RTC_sewer\Project6\data\rainfall_library\T5_D300_chicago_late.csv,4d3cf5fecf8a85b89241b8735d1eafb4194563046e97825f226662b62b1c62e9,available,5,300,chicago_late,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.510802+00:00
T10_D60_chicago_early,E:\RTC_sewer\Project6\data\rainfall_library\T10_D60_chicago_early.csv,e05b3cb0535dedf7225638b9a08e8d29ea43b5d66eec9ad3594e1df55757a5b3,available,10,60,chicago_early,scripts/203_build_formal_rainfall_assets.py,2026-07-21T19:03:29.510802+00:00
