event_id,rain_id,duration_min,pattern,total_depth_mm,peak_intensity_mm_h,recession_min,simulation_duration_min,rainfall_csv
T5_D60_chicago_early,T5,60,chicago_early,51.68,134.73396438187538,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T5_D60_chicago_early.csv
T5_D60_chicago_center,T5,60,chicago_center,51.68,159.4717782902111,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T5_D60_chicago_center.csv
T5_D60_chicago_late,T5,60,chicago_late,51.68,134.7339643818754,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T5_D60_chicago_late.csv
T5_D180_chicago_early,T5,180,chicago_early,51.68,47.452195010907495,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T5_D180_chicago_early.csv
T5_D180_chicago_center,T5,180,chicago_center,51.68,53.998816770448805,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T5_D180_chicago_center.csv
T5_D180_chicago_late,T5,180,chicago_late,51.68,47.4521950109075,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T5_D180_chicago_late.csv
T5_D300_chicago_early,T5,300,chicago_early,51.68,28.60550955092416,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T5_D300_chicago_early.csv
T5_D300_chicago_center,T5,300,chicago_center,51.68,32.50220266862076,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T5_D300_chicago_center.csv
T5_D300_chicago_late,T5,300,chicago_late,51.68,28.605509550924154,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T5_D300_chicago_late.csv
T10_D60_chicago_early,T10,60,chicago_early,56.39,147.01331755986752,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T10_D60_chicago_early.csv
T10_D60_chicago_center,T10,60,chicago_center,56.39,174.00568068469434,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T10_D60_chicago_center.csv
T10_D60_chicago_late,T10,60,chicago_late,56.39,147.01331755986755,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T10_D60_chicago_late.csv
T10_D180_chicago_early,T10,180,chicago_early,56.39,51.77688228841087,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T10_D180_chicago_early.csv
T10_D180_chicago_center,T10,180,chicago_center,56.39,58.920148562028025,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T10_D180_chicago_center.csv
T10_D180_chicago_late,T10,180,chicago_late,56.39,51.776882288410874,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T10_D180_chicago_late.csv
T10_D300_chicago_early,T10,300,chicago_early,56.39,31.212551926792056,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T10_D300_chicago_early.csv
T10_D300_chicago_center,T10,300,chicago_center,56.39,35.46438096910845,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T10_D300_chicago_center.csv
T10_D300_chicago_late,T10,300,chicago_late,56.39,31.21255192679205,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T10_D300_chicago_late.csv
T20_D60_chicago_early,T20,60,chicago_early,61.42,160.12693677118395,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T20_D60_chicago_early.csv
T20_D60_chicago_center,T20,60,chicago_center,61.42,189.52702443081978,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T20_D60_chicago_center.csv
T20_D60_chicago_late,T20,60,chicago_late,61.42,160.12693677118398,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T20_D60_chicago_late.csv
T20_D180_chicago_early,T20,180,chicago_early,61.42,56.39539120684865,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T20_D180_chicago_early.csv
T20_D180_chicago_center,T20,180,chicago_center,61.42,64.17583835218588,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T20_D180_chicago_center.csv
T20_D180_chicago_late,T20,180,chicago_late,61.42,56.39539120684866,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T20_D180_chicago_late.csv
T20_D300_chicago_early,T20,300,chicago_early,61.42,33.99671820080809,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T20_D300_chicago_early.csv
T20_D300_chicago_center,T20,300,chicago_center,61.42,38.62781129850401,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T20_D300_chicago_center.csv
T20_D300_chicago_late,T20,300,chicago_late,61.42,33.99671820080808,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T20_D300_chicago_late.csv
T50_D60_chicago_early,T50,60,chicago_early,68.3,178.0636564876565,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T50_D60_chicago_early.csv
T50_D60_chicago_center,T50,60,chicago_center,68.3,210.7570134911265,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T50_D60_chicago_center.csv
T50_D60_chicago_late,T50,60,chicago_late,68.3,178.06365648765657,180,240,E:\RTC_sewer\Project6\data\rainfall_library\T50_D60_chicago_late.csv
T50_D180_chicago_early,T50,180,chicago_early,68.3,62.7125564869385,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T50_D180_chicago_early.csv
T50_D180_chicago_center,T50,180,chicago_center,68.3,71.36453532162642,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T50_D180_chicago_center.csv
T50_D180_chicago_late,T50,180,chicago_late,68.3,62.71255648693851,180,360,E:\RTC_sewer\Project6\data\rainfall_library\T50_D180_chicago_late.csv
T50_D300_chicago_early,T50,300,chicago_early,68.3,37.80488201099303,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T50_D300_chicago_early.csv
T50_D300_chicago_center,T50,300,chicago_center,68.3,42.954729920023176,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T50_D300_chicago_center.csv
T50_D300_chicago_late,T50,300,chicago_late,68.3,37.804882010993026,180,480,E:\RTC_sewer\Project6\data\rainfall_library\T50_D300_chicago_late.csv
